AAA	Anaa Airport	Anaa, Tuamotus, French Polynesia
VEY	Vestmannaeyjar Airport	Vestmannaeyjar, Iceland
VFA	Victoria Falls Airport	Victoria Falls, Zimbabwe
VGO	Vigo-Peinador Airport	Vigo, Galicia, Spain
VGT	North Las Vegas Airport	North Las Vegas, Nevada, United States
VGZ	Villa Garzón Airport	Villa Garzón, Colombia
VHM	Vilhelmina Airport	Vilhelmina, Sweden
VHN	Culberson County Airport	Van Horn, Texas, United States
VIC	Vicenza Trissino Airport	Vicenza, Italy
VID	Vidin Airport	Vidin, Bulgaria
VIE	Vienna International Airport	Vienna, Austria
VIG	Juan Pablo Perez Alfonso Airport	El Vigía, Venezuela
VIH	Rolla National Airport	Rolla, Missouri, United States
VII	Videira Airport	Videira, Santa Catarina, Brazil
VIJ	Virgin Gorda Airport	Virgin Gorda, British Virgin Islands
VIL	Dakhla Airport	Dakhla, Western Sahara
VIQ	Neillsville Municipal Airport	Neillsville, Wisconsin, United States
VIS	Visalia Municipal Airport	Visalia, California, United States
VIT	Vitoria Foronda International Airport	Vitoria-Gasteiz, Spain
VIV	Vivigani Airfield	Vivigani, Goodenough Island, Papua New Guinea
VIX	Goiabeiras Airport	Vitória, Espírito Santo, Brazil
VJI	Virginia Highlands Airport	Abingdon, Virginia, United States
VKG	Rach Gia Airport	Rach Gia, Kien Giang, Vietnam
VKO	Vnukovo Airport	Moscow, Russia
VKS	Vicksburg Municipal Airport	Vicksburg, Mississippi, United States
VLA	Vandalia Municipal Airport	Vandalia, Illinois, United States
VLC	Valencia Airport	Valencia, Valencian Community, Spain
VLD	Valdosta Regional Airport	Valdosta, Georgia, United States
VLG	Villa Gesell - Pinamar International Airport	Villa Gesell, Buenos Aires, Argentina
VLI	Bauerfield International Airport	Port Vila, Vanuatu
VLL	Valladolid Airport	Valladolid, Spain
VLV	Dr. Antonio Nicolás Briceno Airport	Valera, Venezuela
VMR	Harold Davidson Field	Vermillion, South Dakota, United States
VNC	Venice Municipal Airport	Venice, Florida, United States
VNE	Vannes-Meucon Airport	Vannes, France
VNO	Vilnius International Airport	Vilnius, Lithuania
VNS	Varanasi Airport	Varanasi, Uttar Pradesh, India
VNW	Van Wert County Airport	Van Wert, Ohio, United States
VNX	Vilankulo Airport	Vilanculos, Mozambique
VNY	Van Nuys Airport	Van Nuys, California, United States
VOG	Gumrak Airport	Volgograd, Russia
VOI	Voinjama Airport	Voinjama, Liberia
VOK	Volk Field	Camp Douglas, Wisconsin, United States
VOL	International Airport of Central Greece	Volos, Greece
VPC	Cartersville Airport	Cartersville, Georgia, United States
VPN	Vopnafjörður Airport	Vopnafjörður, Iceland
VPS	Northwest Florida Regional Airport / Eglin AFB	Valaparaiso (near Fort Walton Beach), Florida, United States
VPY	Chimoio Airport	Chimoio, Mozambique
VPZ	Porter County Municipal Airport	Valparaiso, Indiana, United States
VQS	Antonio Rivera Rodriguez Airport	Vieques, Puerto Rico
VRA	Juan Gualberto Gómez Airport	Varadero, Cuba
VRB	Vero Beach Municipal Airport	Vero Beach, Florida, United States
VRC	Virac Airport	Virac, Catanduanes, Philippines
VRK	Varkaus Airport	Joroinen, Finland
VRN	Aeroporto di Verona	Verona, Italy
VRY	Værøy Heliport	Værøy, Nordland, Norway
VSA	Carlos Rovirosa Pérez International Airport	Villahermosa, Tabasco, Mexico
VSF	Hartness State (Springfield) Airport	Springfield, Vermont, United States
VSG	Luhansk Airport	Luhansk (Lugansk), Ukraine
VST	Stockholm-Västerås Airport	Stockholm, Sweden
VTA	Newark-Heath Airport	Newark, Ohio, United States
VTE	Wattay International Airport	Vientiane, Laos
VTG	Vung Tau Airport	Vung Tau, Ba Ria - Vung Tau, Vietnam
VTI	Vinton Veterans Memorial Airpark	Vinton, Iowa, United States
VTN	Miller Field	Valentine, Nebraska, United States
VTZ	Visakhapatnam	Andhra Pradesh, India
VUJ	Stanly County Airport	Albemarle, North Carolina, United States
VUO	Pearson Field	Vancouver, Washington, United States
VVI	Viru Viru International Airport	Santa Cruz, Bolivia
VVL	Saanen Airport	Saanen, Switzerland
VVO	Vladivostok International Airport (Kievichi Airport)	Vladivostok, Russia
VVS	Connellsville Airport	Connellsville, Pennsylvania, United States
VVV	Ortonville Municipal Airport (Martinson Field)	Ortonville, Minnesota, United States
VWU	Waskish Municipal Airport	Waskish, Minnesota, United States
VXC	Lichinga Airport	Lichinga, Mozambique
VXE	Sao Pedro Airport	São Vicente, Cape Verde
VXO	Växjö Airport	Växjö, Sweden
VYS	Illinois Valley Regional Airport (Walter A. Duncan Field)	Peru, Illinois, United States
WAA	Wales Airport	Wales, Alaska, United States
WAD	Andriamena Airport	Andriamena, Madagascar
WAG	Wanganui Airport	Wanganui, New Zealand
WAH	Harry Stern Airport	Wahpeton, North Dakota, United States
WAL	Wallops Flight Facility Airport	Wallops Island, Virginia, United States
WAS	All Airports	Washington, D.C., United States
WAT	Waterford Airport	Waterford, Ireland
WAW	Frederic Chopin International Airport	Warsaw, Poland
WAY	Greene County Airport	Waynesburg, Pennsylvania, United States
WBB	Stebbins Airport	Stebbins, Alaska, United States
WBG	Fliegerhorst Schleswig	Schleswig, Germany
WBQ	Beaver Airport	Beaver, Alaska, United States
WBU	Boulder Municipal Airport	Boulder, Colorado, United States
WBW	Wilkes-Barre Wyoming Valley Airport	Wilkes-Barre, Pennsylvania, United States
WCR	Chandalar Lake Airport	Chandalar Lake, Alaska, United States
WDG	Enid Woodring Regional Airport	Enid, Oklahoma, United States
WDH	Windhoek Hosea Kutako International Airport	Windhoek, Namibia
WDR	Winder-Barrow Airport	Winder, Georgia, United States
WEA	Parker County Airport	Weatherford, Texas, United States
WEH	Weihai International Airport	Weihai, China
WFI	Fianarantsoa Airport	Fianarantsoa, Madagascar
WFK	Northern Aroostook Regional Airport	Frenchville, Maine, United States
WGA	Wagga Wagga Airport	Wagga Wagga, Australia
WGO	Winchester Regional Airport	Winchester, Virginia, United States
WGP	Waingapu Airport	Waingapu, Indonesia
WHD	Hyder Seaplane Base	Hyder, Alaska, United States
WHK	Whakatane Airport	Whakatane, New Zealand
WHP	Whiteman Airport	Los Angeles, California, United States
WHF	Wadi Halfa Airport	Wadi Halfa, Sudan
WIL	Wilson Airport	Nairobi, Kenya
WJA	Woja Airport	Woja, Marshall Islands
WJF	General William J. Fox Airfield	Lancaster, California, United States
WKA	Wanaka Airport	Wanaka, New Zealand
WLD	Strother Field	Winfield/Arkansas City, Kansas, United States
WLG	Wellington International Airport	Wellington, New Zealand
WLK	Selawik Airport	Selawik, Alaska, United States
WLW	Willows-Glenn County Airport	Willows, California, United States
WMC	Winnemucca Municipal Airport	Winnemucca, Nevada, United States
WMO	White Mountain Airport	White Mountain, Alaska, United States
WNA	Napakiak Airport	Napakiak, Alaska, United States
WNZ	Wenzhou Yongqiang Airport	Wenzhou, Zhejiang, China
WNP	Naga Airport (Pili Airport)	Pili, Camarines Sur, Philippines
WOE	Woensdrecht Air Base	Woensdrecht, Netherlands
WOL	Illawarra Regional Airport	Shellharbour, New South Wales, Australia
WOT	Wangan Airport	Wang An, Taiwan
WRB	Robins AFB	Warner Robins, Georgia, United States
WRE	Whangarei Airport	Whangarei, New Zealand
WRG	Wrangell Airport	Wrangell, Alaska, United States
WRI	McGuire Air Force Base	Wrightstown, New Jersey, United States
WRL	Worland Municipal Airport	Worland, Wyoming, United States
WRO	Copernicus Airport Wroclaw	Wroclaw, Poland
WRZ	Weerawila International Airport (New airport)	Sri Lanka
WSD	Condron Army Airfield	White Sands, New Mexico, United States
WSG	Washington County Airport	Washington, Pennsylvania, United States
WSM	Wiseman Airport	Wiseman, Alaska, United States
WSN	South Naknek Nr 2 Airport	South Naknek, Alaska, United States
WSO	Washabo Airport	Washabo, Suriname
WSP	Waspam Airport	Waspam, Nicaragua
WST	Westerly State Airport	Westerly, Rhode Island, United States
WSZ	Westport Airport	Westport, New Zealand
WTD	West End Airport	Grand Bahama, Bahamas
WTE	Wotje Airport	Wotje, Marshall Islands
WTK	Noatak Airport	Noatak, Alaska, United States
WTL	Tuntutuliak Airport	Tuntutuliak, Alaska, United States
WTO	Wotho Airport	Wotho, Marshall Islands
WTS	Tsiroanomandidy Airport	Tsiroanomandidy, Madagascar
WUH	Tianhe Airport	Wuhan, China
WUU	Wau Airport	Wau, Sudan
WUX	Wuxi Airport	Wuxi (near Shanghai, China
WUZ	Wuzhou Changzhoudao Airport	Wuzhou, Guangxi, China
WVB	Walvis Bay Airport	Walvis Bay, Namibia,[1]
WVI	Watsonville Municipal Airport	Watsonville, California, United States
WVL	Waterville Robert LaFleur Airport	Waterville, Maine, United States
WVN	JadeWeserAIRPORT	Wilhelmshaven-Mariensiel, Germany
WWD	Cape May Airport	Wildwood, New Jersey, United States
WWP	North Whale Seaplane Base	North Whale Pass, Alaska, United States
WWR	West Woodward Airport	Woodward, Oklahoma, United States
WWT	Newtok Airport	Newtok, Alaska, United States
WWY	West Wyalong Airport	West Wyalong, New South Wales, Australia
WYE	Yengema Airport	Yengema, Kono District, Sierra Leone
WYS	Yellowstone Airport	West Yellowstone, Montana, United States
XAB	Abbeville Aerodrome	Abbeville, France
XAC	La Teste-de-Buch Airport	Arcachon, France
XAP	Chapecó Airport	Chapecó, Brazil
XAR	Aribinda Airport	Aribinda, Burkina Faso
XBG	Bogande Airport	Bogande, Burkina Faso
XBJ	Birjand Airport	Birjand, Iran
XBK	Bourg - Ceyzériat Airport	Bourg-en-Bresse, France
XBO	Boulsa Airport	Boulsa, Burkina Faso
XCH	Christmas Island Airport	Christmas Island, Australia
XCN	Pacific Air-VAL Coron Airport	Coron, Palawan, Philippines
XCR	Vatry International Airport	Vatry, France
XCY	Château-Thierry Belleau Airport	Château-Thierry, France
XDA	Seyresse Airport	Dax, France
XDE	Diebougou Airport	Diebougou, Burkina Faso
XDJ	Djibo Airport	Djibo, Burkina Faso
XDK	Dunkerque - Les Moëres Airport	Dunkerque, France
XEP	Plivot Airport	Epernay, France
XFW	Hamburg Finkenwerder Airport	Hamburg, Germany
XGA	Gaoua Airport	Amilcar Cabral De Ga, Burkina Faso
XGG	Gorom Gorom Airport	Gorom Gorom, Burkina Faso
XGN	Xangongo Airport	Xangongo, Angola
XGR	Kangiqsualujjuaq (Georges River) Airport	Quebec, Canada
XIC	Xichang Qingshan Airport	Qingshan, China
XIY	Xi'an Xianyang International Airport	Xianyang, China
XKA	Kantchari Airport	Kantchari, Burkina Faso
XKL	KL City Air Terminal	Kuala Lumpur, Malaysia
XKS	Kasabonika Airport	Kasabonika First Nation, Ontario, Canada
XKY	Kaya Airport	Kaya, Burkina Faso
XLS	Saint-Louis Airport	Saint-Louis, Senegal
XLU	Leo Airport	Leo, Burkina Faso
XMA	Maramag Airport	Maramag, Bukidnon, Philippines
XMD	Madison Municipal Airport	Madison, South Dakota, United States
XMF	Montbéliard Courcelles Airport	Montbéliard, France
XMH	Manihi Airport	Manihi, French Polynesia
XMN	Xiamen Gaoqi International Airport	Xiamen, China
XMS	Macas Airport	Macas, Ecuador
XMU	Montbeugny Airport	Moulins, France
XNA	Northwest Arkansas Regional Airport	Fayetteville/Springdale, Arkansas, United States
XNU	Nouna Airport	Nouna, Burkina Faso
XOG	Orange-Caritat Air Base	Orange, France
XPA	Pama Airport	Pama, Burkina Faso
XPK	Pukatawagan Airport	Pukatawagan, Manitoba, Canada
XQP	Quepos Managua Airport	Quepos, Costa Rica
XQC	Balad Airport	Balad, Iraq
XRY	Jerez Airport	Jerez de la Frontera, Spain
XSD	Tonopah Test Range Airport	Tonopah, Nevada, United States
XSE	Sebba Airport	Sebba, Burkina Faso
XSO	Siocon Airport	Siocon, Zamboanga del Norte, Philippines
XSP	Seletar Airport	Seletar, Singapore
XTG	Thargomindah Airport	Thargomindah, Queensland, Australia
XTL	Tadoule Lake Airport	Tadoule Lake, Manitoba, Canada
XVS	Denain Airport	Valenciennes, France
XXN	Riyadh Air Base	Riyadh Air Base, Saudi Arabia
XYE	Ye Airport	Ye, Myanmar
XYT	Montaudran Airport	Toulouse, France
XZA	Zabré Airport	Zabré, Burkina Faso
YAC	Cat Lake Airport	Cat Lake, Ontario, Canada
YAG	Fort Frances Municipal Airport	Fort Frances, Ontario, Canada
YAI	General Bernardo O'Higgins Airport	Chillán, Chile
YAK	Yakutat Airport	Yakutat, Alaska, United States
YAL	Alert Bay Airport	British Columbia, Canada
YAM	Sault Ste. Marie Airport	Sault Ste. Marie, Ontario, Canada
YAO	Yaoundé Airport	Yaoundé, Cameroon
YAP	Yap International Airport	Colonia, Federated States of Micronesia
YAT	Attawapiskat Airport	Attawapiskat, Ontario, Canada
YAU	Liverpool Airport/South Shore Regional	Liverpool, Nova Scotia, Canada
YAV	Winnipeg/St. Andrews Airport	St. Andrews, Manitoba, Canada
YAW	Halifax/Shearwater Airport	Shearwater, Nova Scotia, Canada
YAX	Lac Du Bonnet Airport	Lac du Bonnet, Manitoba, Canada
YAY	St. Anthony Airport	St. Anthony, Newfoundland, Canada
YAZ	Tofino Airport	Tofino, British Columbia, Canada
YBB	Kugaaruk Airport	Kugaaruk, Nunavut, Canada
YBC	Baie-Comeau Airport	Baie-Comeau, Quebec, Canada
YBE	Uranium City Airport	Uranium City, Saskatchewan, Canada
YBG	Bagotville Airport	Bagotville, Quebec, Canada
YBK	Baker Lake Airport	Baker Lake, Nunavut, Canada
YBL	Campbell River Airport	Campbell River, British Columbia, Canada
YBP	Yibin Airport	Yibin, Sichuan, People’s Republic of China
YBR	Brandon Municipal Airport	Brandon, Manitoba, Canada
YBT	Brochet Airport	Brochet, Manitoba, Canada
YBV	Berens River Airport	Berens River, Manitoba, Canada
YBX	Lourdes-de-Blanc-Sablon Airport	Lourdes-de-Blanc-Sablon, Quebec, Canada
YCA	Courtenay Airpark	Courtenay, British Columbia, Canada
YCB	Cambridge Bay Airport	Cambridge Bay, Nunavut, Canada
YCC	Cornwall Regional Airport	Cornwall, Ontario, Canada
YCD	Nanaimo Airport	Nanaimo, British Columbia, Canada
YCE	Centralia/Huron Airpark	Centralia, Ontario, Canada
YCG	Castlegar Airport	Castlegar, British Columbia, Canada
YCH	Miramichi Airport	Miramichi, New Brunswick, Canada
YCL	Charlo Airport	Charlo, New Brunswick, Canada
YCN	Cochrane Airport	Cochrane, Ontario, Canada
YCO	Kugluktuk Airport	Kugluktuk, Nunavut, Canada
YCQ	Chetwynd Airport	Chetwynd, British Columbia, Canada
YCR	Cross Lake (Charlie Sinclair Memorial) Airport	Cross Lake, Manitoba, Canada
YCS	Chesterfield Inlet Airport	Chesterfield Inlet, Nunavut, Canada
YCY	Clyde River Airport	Clyde River, Nunavut, Canada
YDA	Dawson City Airport	Dawson City, Yukon, Canada
YDB	Burwash Airport	Burwash Landing, Yukon, Canada
YDF	Deer Lake Airport	Deer Lake, Newfoundland and Labrador, Canada
YDM	Ross River Airport	Ross River, Yukon, Canada
YDN	Dauphin (Lt. Col W.G. (Billy) Barker VC Airport)	Dauphin, Manitoba, Canada
YDO	Dolbeau-St-Félicien Airport	Dolbeau-Mistassini, Quebec, Canada
YDP	Nain Airport	Nain, Newfoundland and Labrador, Canada
YDQ	Dawson Creek Airport	Dawson Creek, British Columbia, Canada
YDT	Boundary Bay Airport	Delta, British Columbia, Canada
YDW	Obre Lake/North of Sixty Airport	Obre Lake, Northwest Territories, Canada
YEA	Edmonton	Edmonton, Alberta, Canada	
YEE	Midland/Huronia Airport	Midland, Ontario, Canada
YEG	Edmonton International Airport	Edmonton, Alberta, Canada
YEI	Bursa Yenisehir Airport	Bursa, Turkey
YEK	Arviat Airport	Arviat, Nunavut, Canada
YEL	Elliot Lake Municipal Airport	Elliot Lake, Ontario, Canada
YEM	Manitowaning/Manitoulin East Municipal Airport	Manitowaning, Ontario, Canada
YER	Fort Severn Airport	Fort Severn, Ontario, Canada
YET	Edson Airport	Edson, Alberta, Canada
YEV	Inuvik (Mike Zubko) Airport	Inuvik, Northwest Territories, Canada
YEY	Amos/Magny Airport	Amos, Quebec, Canada
YFA	Fort Albany Airport	Fort Albany, Ontario, Canada
YFB	Iqaluit Airport	Iqaluit, Nunavut, Canada
YFC	Fredericton International Airport	Fredericton, New Brunswick, Canada
YFE	Forestville Airport	Forestville, Quebec, Canada
YFH	Fort Hope Airport	Fort Hope, Ontario, Canada
YFO	Flin Flon Airport	Flin Flon, Manitoba, Canada
YFS	Fort Simpson Airport	Fort Simpson, Northwest Territories, Canada
YGB	Texada/Gillies Bay Airport	Texada Island, British Columbia, Canada
YGD	Goderich Airport	Goderich, Ontario, Canada
YGH	Fort Good Hope Airport	Fort Good Hope, Northwest Territories, Canada
YGK	Kingston Airport	Kingston, Ontario, Canada
YGL	La Grande Rivière Airport	Radisson, Quebec, Canada
YGM	Gimli Industrial Park Airport	Gimli, Manitoba, Canada
YGO	Gods Lake Narrows Airport	Gods Lake Narrows, Manitoba, Canada
YGP	Gaspé Airport	Gaspé, Quebec, Canada
YGQ	Geraldton (Greenstone Regional) Airport	Geraldton, Ontario, Canada
YGR	Îles-de-la-Madeleine Airport	Iles-de-la-Madeleine, Quebec, Canada
YGT	Igloolik Airport	Igloolik, Nunavut, Canada
YGV	Havre St-Pierre Airport	Havre-Saint-Pierre, Quebec, Canada
YGW	Kuujjuarapik Airport	Kuujjuarapik, Quebec, Canada
YGX	Gillam Airport	Gillam, Manitoba, Canada
YGZ	Grise Fiord Airport	Grise Fiord, Nunavut, Canada
YHD	Dryden Regional Airport	Dryden, Ontario, Canada
YHF	Hearst (René Fontaine) Municipal Airport	Hearst, Ontario, Canada
YHI	Ulukhaktok/Holman Airport	Ulukhaktok, Northwest Territories, Canada
YHK	Gjoa Haven Airport	Gjoa Haven, Nunavut, Canada
YHM	Hamilton International Airport	Hamilton, Ontario, Canada
YHN	Hornepayne Municipal Airport	Hornepayne, Ontario, Canada
YHO	Hopedale Airport	Hopedale, Labrador, Canada
YHP	Poplar Hill Airport	Poplar Hill, Ontario, Canada
YHR	Chevery Airport	Chevery, Quebec, Canada
YHT	Haines Junction Airport	Haines Junction, Yukon, Canada
YHU	Montréal/St-Hubert Airport	Longueuil (near Montreal), Quebec, Canada
YHY	Hay River Airport	Hay River, Northwest Territories, Canada
YHZ	Halifax Stanfield International Airport	Enfield, Nova Scotia, Canada
YIB	Atikokan Municipal Airport	Atikokan, Ontario, Canada
YIF	Saint-Augustin Airport	St-Augustin, Québec, Canada
YIK	Ivujivik Airport	Ivujivik, Québec, Canada
YIO	Pond Inlet Airport	Pond Inlet, Nunavut, Canada
YIP	Willow Run Airport	Detroit, Michigan, United States
YIV	Island Lake Airport	Island Lake, Manitoba, Canada
YJN	St-Jean Airport	Saint-Jean-sur-Richelieu, Quebec, Canada
YJT	Stephenville Airport	Stephenville, Newfoundland, Canada
YKA	Kamloops Airport	Kamloops, British Columbia, Canada
YKF	Kitchener/Waterloo Regional Airport	Waterloo Regional Municipality, Ontario, Canada
YKJ	Key Lake Airport	Key Lake, Saskatchewan, Canada
YKL	Schefferville Airport	Schefferville, Quebec, Canada
YKM	Yakima Air Terminal (McAllister Field)	Yakima, Washington, United States
YKN	Chan Gurney Municipal Airport	Yankton, South Dakota, United States
YKQ	Waskaganish Airport	Waskaganish, Quebec, Canada
YKS	Yakutsk Airport	Yakutsk, Russia
YKU	Chisasibi Airport	Chisasibi, Quebec, Canada
YKX	Kirkland Lake Airport	Kirkland Lake, Ontario, Canada
YKZ	Toronto/Buttonville Municipal Airport	Buttonville, Ontario, Canada
YLC	Kimmirut Airport	Kimmirut, Nunavut, Canada
YLD	Chapleau Airport	Chapleau, Ontario, Canada
YLH	Lansdowne House Airport	Lansdowne House, Ontario, Canada
